sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
4,0,4,0,11,0,11,0,,,,,,,,1.3486933638017136,none,7210.003700886649,29.515162459158937,0.00471295481870452,0,45,[],0.014913910000359465,0.20959521000077075,['space'],157.55552739999985,157.55552739999985,0.20959521000077075,1.5582885738024843,157.77015839999967,157.55552739999985,[-0.944656500000292],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,12,0,12,0,,,,,,,,1.2264886300942113,none,601.5125180410588,19.394116858142688,0.0005186192622122242,0,46,[],0.01955820999955904,None,['space'],159.11502089999976,159.11502089999976,0.2209936099989136,1.4474822400931249,159.32834720000028,159.11502089999976,[-1.016135200000008],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,13,0,13,0,,,,,,,,2.1056293651647082,none,,,,1,46,[],0.01970221000010497,None,['space'],160.55533469999955,160.55533469999955,0.21841801000027772,2.324047375164986,160.76361400000042,160.55533469999955,[-0.9684221000002253],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,14,0,14,0,,,,,,,,2.2917256270457806,none,2549.121254638527,11.065614339791704,0.00029616646800970277,0,47,[],0.020522710000477673,None,None,162.8732116000001,162.8732116000001,0.22120261000054597,2.5129282370463266,163.08307979999972,162.8732116000001,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
5,0,5,0,0,0,0,0,,,,,,171.86618660000022,None,1.777702306695576,none,831.237896142788,10.618339873052069,0.00013329752252492808,0,48,[],0.022386110000297776,None,None,172.8861178999996,None,0.22787251000045217,2.0055748166960283,173.10008259999995,None,,165.37766329999977,None,"[0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333]",ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
5,0,5,0,1,0,1,0,,,,,,,,2.0226386897976503,none,740.5487761432823,10.201379075317792,0.00013421666272118684,0,49,[],0.018003109998971922,None,['space'],174.8721886000003,174.8721886000003,0.21228870999857463,2.234927399796225,175.08192539999982,174.8721886000003,[-1.31735290000006],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
5,0,5,0,2,0,2,0,,,,,,,,1.194078887683996,none,138.69618400848066,13.825703257846936,0.0029512394364577944,0,50,[],0.01721761000044353,0.21075101000042196,['space'],177.10769880000043,177.10769880000043,0.21075101000042196,1.404829897684418,177.3130670999999,177.10769880000043,[-1.4579123999997137],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
5,0,5,0,3,0,3,0,,,,,,,,1.0987911000073876,none,494.2570101764482,13.257161924354836,0.0003300716658959804,0,51,[],0.017583509999894886,None,['space'],178.50827599999957,178.50827599999957,0.21413601000040217,1.3129271100077897,178.7242186000003,178.50827599999957,[-0.8735386000003018],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
5,0,5,0,4,0,4,0,,,,,,,,1.7735183785897362,none,,,,1,51,[],0.018395410000266565,None,['space'],179.82666260000042,179.82666260000042,0.21995681000043987,1.993475188590176,180.04331790000015,179.82666260000042,[-0.800300000000334],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
5,0,5,0,5,0,5,0,,,,,,,,2.900637146352966,none,1245.4496223588233,10.116788249682868,0.00017409662110635325,0,52,[],0.020290710001063417,None,['space'],181.8208864999997,181.8208864999997,0.21935161000055814,3.119988756353524,182.03269100000034,181.8208864999997,[-1.000804299999345],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
5,0,5,0,6,0,6,0,,,,,,,,1.7006805065530242,none,174.74624177237746,12.477309754002768,0.0015032779499000312,0,53,[],0.013665609999407025,0.20469610999953147,['space'],184.93699860000015,184.93699860000015,0.20469610999953147,1.9053766165525556,185.1475000999999,184.93699860000015,[-2.550357200000235],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
